,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
28,INC2008-070,Release of Substance,07/17/2008,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
29,INC2008-072,Release of Substance,07/18/2008,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,800.0
30,INC2008-075,Release of Substance,07/23/2008,Alberta,Enbridge Pipelines Inc.,Diesel Fuel,2.0
31,INC2008-078,Release of Substance,07/31/2008,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
32,INC2008-079,Release of Substance,08/08/2008,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Propane,0.5
33,INC2008-080,Serious Injury (CER or TSB),08/15/2008,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
34,INC2008-084,Fire,08/26/2008,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
35,INC2008-085,Fire,09/04/2008,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
36,INC2008-086,Release of Substance,08/28/2008,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
37,INC2008-087,Release of Substance,09/05/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Butane,0.1
38,INC2008-091,Serious Injury (CER or TSB),09/16/2008,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Not Applicable,
39,INC2008-092,Serious Injury (CER or TSB),09/16/2008,British Columbia,Trans Mountain Pipeline Inc.,Not Applicable,
40,INC2008-095,Release of Substance,09/26/2008,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
41,INC2008-097,Fire,10/07/2008,Ontario,TransCanada PipeLines Limited,Not Applicable,
42,INC2008-098,Release of Substance,10/16/2008,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
43,INC2008-103,Release of Substance,11/04/2008,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
44,INC2008-109,"Fire, Release of Substance",11/20/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Mixed HVP Hydrocarbons,0.005
45,INC2008-110,Release of Substance,11/21/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Condensate,10.0
46,INC2008-111,Release of Substance,11/26/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Amine,10.0
47,INC2008-112,Fire,11/26/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
48,INC2008-113,"Release of Substance, Adverse Environmental Effects",12/01/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Glycol,2.0
49,INC2008-114,Release of Substance,12/02/2008,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
50,INC2008-115,Fire,12/02/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
51,INC2008-119,Release of Substance,12/08/2008,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
52,INC2008-120,Release of Substance,12/09/2008,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
53,INC2008-121,Adverse Environmental Effects,12/10/2008,Nova Scotia,EnCana Corporation,Not Applicable,
54,INC2008-123,Fire,12/17/2008,Alberta,Enbridge Pipelines Inc.,Not Applicable,
55,INC2008-128,Release of Substance,01/13/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
56,INC2009-002,Release of Substance,01/15/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
57,INC2009-009,Serious Injury (CER or TSB),02/09/2009,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
58,INC2009-010,Release of Substance,02/09/2009,Ontario,TransCanada PipeLines Limited,Fuel Gas,
59,INC2009-015,"Serious Injury (CER or TSB), Release of Substance",02/20/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,1e-04
60,INC2009-019,Release of Substance,03/05/2009,Manitoba,TransCanada PipeLines Limited,Lube Oil,2.5
61,INC2009-021,Release of Substance,03/10/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
62,INC2009-024,Serious Injury (CER or TSB),03/13/2009,Ontario,Enbridge Pipelines Inc.,Not Applicable,
63,INC2009-026,Release of Substance,03/23/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
64,INC2009-031,Release of Substance,04/07/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
65,INC2009-032,Release of Substance,04/08/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
66,INC2009-034,Release of Substance,04/23/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
67,INC2009-035,"Fire, Release of Substance",04/23/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,0.004
68,INC2009-036,Release of Substance,04/30/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
69,INC2009-037,Release of Substance,05/01/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
70,INC2009-039,Release of Substance,05/07/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
71,INC2009-040,Release of Substance,05/07/2009,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,305.0
72,INC2009-041,Release of Substance,05/11/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
73,INC2009-042,Release of Substance,05/14/2009,Quebec,TransCanada PipeLines Limited,Natural Gas - Sweet,
74,INC2009-043,Fire,05/15/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
75,INC2009-045,Release of Substance,05/22/2009,Saskatchewan,Kinder Morgan Cochin ULC,Propane,6.36
76,INC2009-047,Fire,05/24/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
77,INC2009-048,Release of Substance,05/27/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
78,INC2009-049,Release of Substance,06/03/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
79,INC2009-053,Release of Substance,06/22/2009,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,
80,INC2009-054,Release of Substance,06/28/2009,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
81,INC2009-055,Release of Substance,06/29/2009,Ontario,Enbridge Pipelines Inc.,Crude Oil - Sweet,1.8
82,INC2009-056,Release of Substance,07/01/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
83,INC2009-057,Operation Beyond Design Limits,07/02/2009,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
84,INC2009-058,"Fire, Release of Substance",07/05/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,17000.0
85,INC2009-060,Release of Substance,07/13/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,4.0
86,INC2009-063,Release of Substance,07/15/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
87,INC2009-065,Fire,07/16/2009,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
88,INC2009-066,"Fire, Release of Substance",07/20/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1450000.0
89,INC2009-067,Release of Substance,07/20/2009,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,
90,INC2009-068,Release of Substance,07/21/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
91,INC2009-072,Fire,07/24/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
92,INC2009-075,Release of Substance,07/31/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,40.0
93,INC2009-076,Release of Substance,08/04/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2.9
94,INC2009-078,Operation Beyond Design Limits,08/10/2009,Ontario,Enbridge Pipelines Inc.,Not Applicable,
95,INC2009-079,Operation Beyond Design Limits,08/11/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
96,INC2009-080,Fire,08/11/2009,Ontario,TransCanada PipeLines Limited,Not Applicable,
97,INC2009-084,Release of Substance,08/24/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
98,INC2009-086,Release of Substance,09/02/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.5
99,INC2009-087,Release of Substance,09/02/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,10.0
100,INC2009-088,Release of Substance,09/02/2009,Saskatchewan,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,566.3
101,INC2009-089,Release of Substance,09/03/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fuel Gas,12.0
102,INC2009-090,Release of Substance,09/04/2009,Alberta,NOVA Gas Transmission Ltd.,Fuel Gas,100.0
103,INC2009-092,Fire,09/10/2009,Alberta,Enbridge Pipelines Inc.,Not Applicable,
104,INC2009-095,"Explosion, Fire, Release of Substance",09/12/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,3420000.0
105,INC2009-096,Release of Substance,09/13/2009,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,
106,INC2009-100,Explosion,09/14/2009,Ontario,TransCanada PipeLines Limited,Not Applicable,
107,INC2009-101,Fire,09/17/2009,Alberta,Enbridge Pipelines Inc.,Not Applicable,
108,INC2009-102,Release of Substance,09/18/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
109,INC2009-103,Release of Substance,09/18/2009,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,0.1
110,INC2009-104,Release of Substance,09/20/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,63000.0
111,INC2009-105,Release of Substance,09/22/2009,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,4.75
112,INC2009-106,Release of Substance,09/23/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,68.0
113,INC2009-107,Fire,09/24/2009,Manitoba,TransCanada PipeLines Limited,Not Applicable,
114,INC2009-109,Release of Substance,09/26/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1430000.0
115,INC2009-111,Release of Substance,09/29/2009,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Synthetic,175.0
116,INC2009-112,"Fire, Release of Substance",09/30/2009,Ontario,2193914 Canada Limited,Natural Gas - Sweet,
117,INC2009-113,Release of Substance,10/05/2009,Ontario,Trans-Northern Pipelines Inc.,Gasoline,3.0
118,INC2009-115,Release of Substance,10/16/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
119,INC2009-118,Release of Substance,10/20/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
120,INC2009-119,Fire,10/22/2009,Alberta,Enbridge Pipelines Inc.,Not Applicable,
121,INC2009-120,Release of Substance,10/23/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
122,INC2009-121,Release of Substance,10/29/2009,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,100.0
123,INC2009-123,Release of Substance,11/01/2009,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,
124,INC2009-126,Release of Substance,11/04/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
125,INC2009-128,Release of Substance,11/18/2009,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,
126,INC2009-129,Release of Substance,11/23/2009,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,0.1
127,INC2009-130,Serious Injury (CER or TSB),10/17/2009,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
128,INC2009-132,Fire,12/04/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
129,INC2009-133,Serious Injury (CER or TSB),11/17/2009,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
130,INC2009-134,Release of Substance,12/08/2009,Saskatchewan,Husky Oil Limited,Condensate,3.0
131,INC2009-135,Fire,12/10/2009,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
132,INC2009-136,Release of Substance,12/10/2009,British Columbia,TransCanada PipeLines Limited B.C. System,Natural Gas - Sweet,
133,INC2009-137,Release of Substance,12/11/2009,Quebec,TransCanada PipeLines Limited,Natural Gas - Sweet,69.0
134,INC2009-139,Operation Beyond Design Limits,12/14/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
135,INC2009-140,Fire,12/16/2009,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
136,INC2009-141,Operation Beyond Design Limits,12/11/2009,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
137,INC2009-143,Release of Substance,12/17/2009,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur Dioxide,
138,INC2009-144,Operation Beyond Design Limits,12/17/2009,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
139,INC2009-145,Release of Substance,12/17/2009,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sour,
140,INC2009-147,Operation Beyond Design Limits,01/04/2010,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
141,INC2009-148,Serious Injury (CER or TSB),12/06/2010,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
142,INC2009-149,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
143,INC2009-150,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
144,INC2009-151,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
145,INC2009-152,Operation Beyond Design Limits,11/11/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
146,INC2009-153,Serious Injury (CER or TSB),04/12/2012,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
147,INC2009-154,Serious Injury (CER or TSB),04/12/2012,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
148,INC2009-155,Serious Injury (CER or TSB),04/12/2012,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
149,INC2010-001,Release of Substance,01/06/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,125000.0
150,INC2010-003,"Release of Substance, Adverse Environmental Effects",01/09/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,33.0
151,INC2010-004,Adverse Environmental Effects,01/08/2010,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
152,INC2010-005,Operation Beyond Design Limits,01/16/2010,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
153,INC2010-006,Fire,01/18/2010,Ontario,TransCanada PipeLines Limited,Not Applicable,
154,INC2010-009,Operation Beyond Design Limits,01/27/2010,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
155,INC2010-012,Release of Substance,01/31/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
156,INC2010-013,Operation Beyond Design Limits,02/01/2010,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
157,INC2010-014,Fire,02/01/2010,Alberta,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
158,INC2010-016,Release of Substance,02/08/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
159,INC2010-018,Release of Substance,02/09/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
160,INC2010-019,Release of Substance,02/12/2010,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,300.0
161,INC2010-021,Release of Substance,02/12/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
162,INC2010-022,Release of Substance,02/16/2010,British Columbia,Provident Energy Pipeline Inc.,Mixed HVP Hydrocarbons,0.25
163,INC2010-024,Fire,02/19/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
164,INC2010-025,Release of Substance,02/20/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,51.4
165,INC2010-028,Release of Substance,02/26/2010,Alberta,Enbridge Pipelines Inc.,Crude Oil - Sweet,150.0
166,INC2010-029,Release of Substance,02/27/2010,Quebec,Trans-Northern Pipelines Inc.,Gasoline,30.0
167,INC2010-032,Release of Substance,03/03/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
168,INC2010-033,Release of Substance,03/12/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
169,INC2010-034,Release of Substance,03/16/2010,Ontario,Trans-Northern Pipelines Inc.,Gasoline,90.0
170,INC2010-040,Fire,03/26/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
171,INC2010-041,Fire,03/27/2010,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
172,INC2010-042,Release of Substance,04/12/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
173,INC2010-044,Release of Substance,04/21/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Mixed HVP Hydrocarbons,
174,INC2010-045,Release of Substance,04/21/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,100.0
175,INC2010-047,Release of Substance,05/05/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
176,INC2010-048,Fire,05/05/2010,Ontario,TransCanada PipeLines Limited,Not Applicable,
177,INC2010-050,Fire,05/11/2010,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
178,INC2010-051,Release of Substance,05/22/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1.0
179,INC2010-052,Release of Substance,05/25/2010,Manitoba,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Propane,
180,INC2010-053,Release of Substance,05/27/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
181,INC2010-054,Release of Substance,05/28/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
182,INC2010-055,Release of Substance,06/03/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.1
183,INC2010-057,Release of Substance,06/17/2010,Saskatchewan,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Mixed HVP Hydrocarbons,
184,INC2010-058,Release of Substance,06/16/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
185,INC2010-059,Release of Substance,06/18/2010,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,
186,INC2010-060,"Fire, Release of Substance",06/22/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,100.0
187,INC2010-061,Release of Substance,06/22/2010,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sour,25.0
188,INC2010-062,Release of Substance,06/24/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
189,INC2010-063,Fire,06/24/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
190,INC2010-066,Release of Substance,07/08/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.5
191,INC2010-073,Release of Substance,07/14/2010,Quebec,Trans-Northern Pipelines Inc.,Jet Fuel,
192,INC2010-074,Release of Substance,07/15/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,3300.0
193,INC2010-079,Release of Substance,07/25/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,100.0
194,INC2010-084,Release of Substance,08/03/2010,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,
195,INC2010-089,Release of Substance,08/16/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
196,INC2010-090,Release of Substance,08/18/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
197,INC2010-091,Release of Substance,08/23/2010,Ontario,Trans-Northern Pipelines Inc.,Gasoline,25.1
198,INC2010-092,Release of Substance,08/25/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
199,INC2010-096,Release of Substance,09/07/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,3.0
200,INC2010-097,Release of Substance,09/08/2010,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,
201,INC2010-098,Release of Substance,09/11/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
202,INC2010-101,Release of Substance,09/20/2010,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas - Sweet,
203,INC2010-102,Operation Beyond Design Limits,09/21/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
204,INC2010-103,Release of Substance,09/22/2010,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,14.2
205,INC2010-104,Release of Substance,09/23/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
206,INC2010-105,Release of Substance,09/29/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
207,INC2010-106,Release of Substance,09/30/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
208,INC2010-107,Release of Substance,10/01/2010,Saskatchewan,Foothills Pipe Lines Ltd.,Natural Gas - Sweet,
209,INC2010-110,Release of Substance,10/06/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
210,INC2010-111,Release of Substance,10/07/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
211,INC2010-112,Release of Substance,10/07/2010,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Fuel Gas,
212,INC2010-113,"Explosion, Fire",10/14/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
213,INC2010-114,Release of Substance,10/15/2010,Ontario,Enbridge Pipelines Inc.,Crude Oil - Sweet,17.5
214,INC2010-116,Release of Substance,10/21/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
215,INC2010-118,Fire,10/27/2010,Ontario,TransCanada PipeLines Limited,Not Applicable,
216,INC2010-119,Release of Substance,10/28/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,11000.0
217,INC2010-121,Release of Substance,11/01/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,
218,INC2010-122,Release of Substance,11/02/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
219,INC2010-123,Serious Injury (CER or TSB),11/05/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
220,INC2010-124,Operation Beyond Design Limits,11/05/2010,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
221,INC2010-127,Fire,11/15/2010,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
222,INC2010-128,Release of Substance,11/17/2010,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1.0
223,INC2010-129,Release of Substance,11/19/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
224,INC2010-130,Release of Substance,11/19/2010,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
225,INC2010-131,Release of Substance,11/20/2010,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,2.8
226,INC2010-134,Adverse Environmental Effects,11/22/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
227,INC2010-135,Release of Substance,11/22/2010,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,
228,INC2010-137,Release of Substance,11/22/2010,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,
229,INC2010-139,Operation Beyond Design Limits,11/24/2010,Alberta,Enbridge Pipelines Inc.,Not Applicable,
